"filename", "language", "JavaScript", "XML", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/SideMenuComp.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/Sidemenu.css", "CSS", 0, 0, 85, 0, 0, 0, 0, 8, 93
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/Sidemenu.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 2, 54
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/Signup.js", "JavaScript", 104, 0, 0, 0, 0, 0, 13, 6, 123
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/UpdateProfile.css", "CSS", 0, 0, 27, 0, 0, 0, 0, 4, 31
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/UpdateProfile.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 8, 160
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/UserActivityList.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/UserModal.js", "JavaScript", 58, 0, 0, 0, 0, 0, 11, 4, 73
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/content.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 4, 11
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/components/disable.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 2, 19
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/context/AuthContext.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 15, 74
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 3, 19
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/logo.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/saadahmed/Documents/GitHub/DailyDishAdminV3/daily-admin/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1765, 469, 341, 18640, 38, 27, 209, 273, 21762
